IFN_y MIP_1a {'unsigned_weighted_rho': 0.19976247960773347, 'weighted_rho': 0.19976247960773347, 'rho': 0.7508313888704464, 'sign': 'positive'}
IL_1b IL_8 {'unsigned_weighted_rho': 0.1469640828214521, 'weighted_rho': 0.1469640828214521, 'rho': 0.5523822423289061, 'sign': 'positive'}
IL_1b TNF_a {'unsigned_weighted_rho': 0.09149226428228212, 'weighted_rho': -0.09149226428228212, 'rho': -0.3438847174747845, 'sign': 'negative'}
IL_1b VEGF_D {'unsigned_weighted_rho': 0.22268594627451604, 'weighted_rho': 0.22268594627451604, 'rho': 0.8369920049628361, 'sign': 'positive'}
IL_1b IL_4 {'unsigned_weighted_rho': 0.0763436925101847, 'weighted_rho': -0.0763436925101847, 'rho': -0.2869469821934528, 'sign': 'negative'}
IL_1b IL_5 {'unsigned_weighted_rho': 0.14523413871743351, 'weighted_rho': -0.14523413871743351, 'rho': -0.5458800386275949, 'sign': 'negative'}
G_CSF VEGF_D {'unsigned_weighted_rho': 0.043631748459797635, 'weighted_rho': -0.043631748459797635, 'rho': -0.1639951924868256, 'sign': 'negative'}
G_CSF IL_2 {'unsigned_weighted_rho': 0.13350268076146754, 'weighted_rho': 0.13350268076146754, 'rho': 0.5017859380344815, 'sign': 'positive'}
G_CSF TNF_a {'unsigned_weighted_rho': 0.13356821963272994, 'weighted_rho': 0.13356821963272994, 'rho': 0.5020322737919849, 'sign': 'positive'}
Osteocalcin IL_8 {'unsigned_weighted_rho': 0.05608452775848081, 'weighted_rho': -0.05608452775848081, 'rho': -0.21080046640256578, 'sign': 'negative'}
Osteocalcin VEGF_D {'unsigned_weighted_rho': 0.09050373290295076, 'weighted_rho': -0.09050373290295076, 'rho': -0.2666191050384225, 'sign': 'negative'}
VEGF_D IL_8 {'unsigned_weighted_rho': 0.14481399602110354, 'weighted_rho': 0.14481399602110354, 'rho': 0.5443008815965615, 'sign': 'positive'}
VEGF_D TNF_a {'unsigned_weighted_rho': 0.06981939651304896, 'weighted_rho': -0.06981939651304896, 'rho': -0.26242462827318397, 'sign': 'negative'}
VEGF_D RANTES {'unsigned_weighted_rho': 0.10313454326464902, 'weighted_rho': -0.10313454326464902, 'rho': -0.24981478257437206, 'sign': 'negative'}
VEGF_D IL_4 {'unsigned_weighted_rho': 0.055095692653321475, 'weighted_rho': -0.055095692653321475, 'rho': -0.20708381031765657, 'sign': 'negative'}
VEGF_D IL_5 {'unsigned_weighted_rho': 0.10433537636818403, 'weighted_rho': -0.10433537636818403, 'rho': -0.39215710428041584, 'sign': 'negative'}
IL_8 TNF_a {'unsigned_weighted_rho': 0.05941833018340673, 'weighted_rho': -0.05941833018340673, 'rho': -0.22333096517211495, 'sign': 'negative'}
TNF_a IL_2 {'unsigned_weighted_rho': 0.11932821163074017, 'weighted_rho': 0.11932821163074017, 'rho': 0.44850948509485095, 'sign': 'positive'}
TNF_a IL_6 {'unsigned_weighted_rho': 0.03047557513700658, 'weighted_rho': -0.03047557513700658, 'rho': -0.1145461272390937, 'sign': 'negative'}
IL_2 RANTES {'unsigned_weighted_rho': 0.12734202686280385, 'weighted_rho': 0.12734202686280385, 'rho': 0.47863037682915927, 'sign': 'positive'}
IL_2 IL_4 {'unsigned_weighted_rho': 0.15139428349078235, 'weighted_rho': 0.15139428349078235, 'rho': 0.569033686223975, 'sign': 'positive'}
IL_2 IL_5 {'unsigned_weighted_rho': 0.13378131279227723, 'weighted_rho': 0.13378131279227723, 'rho': 0.5028332101502834, 'sign': 'positive'}
IL_4 IL_5 {'unsigned_weighted_rho': 0.18681582295569674, 'weighted_rho': 0.18681582295569674, 'rho': 0.7021698173162394, 'sign': 'positive'}
