IFN_y HGF {'unsigned_weighted_rho': 0.13508287799332575, 'weighted_rho': 0.13508287799332575, 'rho': 0.47932634126663975, 'sign': 'positive'}
GM_CSF MIFAnalyte_46 {'unsigned_weighted_rho': 0.12361693023511826, 'weighted_rho': 0.12361693023511826, 'rho': 0.4386407201891293, 'sign': 'positive'}
GM_CSF Osteocalcin {'unsigned_weighted_rho': 0.08228931953411867, 'weighted_rho': -0.08228931953411867, 'rho': -0.2919943596371953, 'sign': 'negative'}
GM_CSF IL_2 {'unsigned_weighted_rho': 0.16304869998899849, 'weighted_rho': 0.16304869998899849, 'rho': 0.5785599031867689, 'sign': 'positive'}
GM_CSF IL_4 {'unsigned_weighted_rho': 0.1686247214608583, 'weighted_rho': 0.1686247214608583, 'rho': 0.5983457858288521, 'sign': 'positive'}
Testosterone Osteocalcin {'unsigned_weighted_rho': 0.1915820415508905, 'weighted_rho': -0.1915820415508905, 'rho': -0.5017624897761418, 'sign': 'negative'}
FGF_basic MDC {'unsigned_weighted_rho': 0.1385069163845627, 'weighted_rho': -0.1385069163845627, 'rho': -0.4914761549129644, 'sign': 'negative'}
FGF_basic IL_1RA {'unsigned_weighted_rho': 0.17691736091173862, 'weighted_rho': 0.17691736091173862, 'rho': 0.6277712806545565, 'sign': 'positive'}
FGF_basic VEGF_D {'unsigned_weighted_rho': 0.18921831712022114, 'weighted_rho': 0.18921831712022114, 'rho': 0.6714198349427202, 'sign': 'positive'}
FGF_basic IL_8 {'unsigned_weighted_rho': 0.13033159269363354, 'weighted_rho': 0.13033159269363354, 'rho': 0.462466941816119, 'sign': 'positive'}
FGF_basic IL_1b {'unsigned_weighted_rho': 0.1764587287382798, 'weighted_rho': 0.1764587287382798, 'rho': 0.6261438761680896, 'sign': 'positive'}
FGF_basic RANTES {'unsigned_weighted_rho': 0.1654515565752682, 'weighted_rho': 0.1654515565752682, 'rho': 0.5870861684928872, 'sign': 'positive'}
FGF_basic IL_6 {'unsigned_weighted_rho': 0.17170041993864457, 'weighted_rho': 0.17170041993864457, 'rho': 0.6092595546209969, 'sign': 'positive'}
IL_1RA G_CSF {'unsigned_weighted_rho': 0.14892187073958957, 'weighted_rho': 0.14892187073958957, 'rho': 0.528432444559834, 'sign': 'positive'}
IL_1RA MDC {'unsigned_weighted_rho': 0.13363636363636364, 'weighted_rho': -0.13363636363636364, 'rho': -0.47419354838709676, 'sign': 'negative'}
IL_1RA Eotaxin {'unsigned_weighted_rho': 0.1480681818181818, 'weighted_rho': 0.1480681818181818, 'rho': 0.5254032258064516, 'sign': 'positive'}
IL_1RA IL_1b {'unsigned_weighted_rho': 0.2243181818181818, 'weighted_rho': 0.2243181818181818, 'rho': 0.7959677419354839, 'sign': 'positive'}
IL_1RA Osteocalcin {'unsigned_weighted_rho': 0.09159090909090908, 'weighted_rho': -0.09159090909090908, 'rho': -0.325, 'sign': 'negative'}
IL_1RA VEGF_D {'unsigned_weighted_rho': 0.22062618301848486, 'weighted_rho': 0.22062618301848486, 'rho': 0.7828671010333335, 'sign': 'positive'}
IL_1RA IL_8 {'unsigned_weighted_rho': 0.14287195538830025, 'weighted_rho': 0.14287195538830025, 'rho': 0.5069650029907429, 'sign': 'positive'}
IL_1RA RANTES {'unsigned_weighted_rho': 0.23590909090909087, 'weighted_rho': 0.23590909090909087, 'rho': 0.8370967741935483, 'sign': 'positive'}
IL_1RA IL_6 {'unsigned_weighted_rho': 0.17011363636363636, 'weighted_rho': 0.17011363636363636, 'rho': 0.6036290322580645, 'sign': 'positive'}
IL_1RA IL_5 {'unsigned_weighted_rho': 0.0964399000341156, 'weighted_rho': -0.0964399000341156, 'rho': -0.3422060968952489, 'sign': 'negative'}
MIFAnalyte_46 Osteocalcin {'unsigned_weighted_rho': 0.11882180287498238, 'weighted_rho': -0.11882180287498238, 'rho': -0.3351384183653349, 'sign': 'negative'}
MIFAnalyte_46 MCP_1 {'unsigned_weighted_rho': 0.14274166273312947, 'weighted_rho': 0.14274166273312947, 'rho': 0.5065026742143304, 'sign': 'positive'}
MIFAnalyte_46 IL_2 {'unsigned_weighted_rho': 0.14734569730323865, 'weighted_rho': 0.14734569730323865, 'rho': 0.5228395710760082, 'sign': 'positive'}
MIFAnalyte_46 IL_1b {'unsigned_weighted_rho': 0.08728152625720018, 'weighted_rho': -0.08728152625720018, 'rho': -0.3097086415578071, 'sign': 'negative'}
MIFAnalyte_46 RANTES {'unsigned_weighted_rho': 0.11548886431419987, 'weighted_rho': 0.11548886431419987, 'rho': 0.2646619807200414, 'sign': 'positive'}
MIFAnalyte_46 IL_4 {'unsigned_weighted_rho': 0.1363471386852275, 'weighted_rho': 0.1363471386852275, 'rho': 0.4838124275927428, 'sign': 'positive'}
MIFAnalyte_46 IL_5 {'unsigned_weighted_rho': 0.14919284683548756, 'weighted_rho': 0.14919284683548756, 'rho': 0.5293939726420527, 'sign': 'positive'}
IL_1b MDC {'unsigned_weighted_rho': 0.13522727272727272, 'weighted_rho': -0.13522727272727272, 'rho': -0.4798387096774194, 'sign': 'negative'}
IL_1b Eotaxin {'unsigned_weighted_rho': 0.19852272727272727, 'weighted_rho': 0.19852272727272727, 'rho': 0.7044354838709678, 'sign': 'positive'}
IL_1b VEGF_D {'unsigned_weighted_rho': 0.2567859548326833, 'weighted_rho': 0.2567859548326833, 'rho': 0.9111759687611343, 'sign': 'positive'}
IL_1b IL_8 {'unsigned_weighted_rho': 0.13055852957536693, 'weighted_rho': 0.13055852957536693, 'rho': 0.46327220171904393, 'sign': 'positive'}
IL_1b MCP_1 {'unsigned_weighted_rho': 0.09295454545454544, 'weighted_rho': -0.09295454545454544, 'rho': -0.32983870967741935, 'sign': 'negative'}
IL_1b RANTES {'unsigned_weighted_rho': 0.16795454545454544, 'weighted_rho': 0.16795454545454544, 'rho': 0.5959677419354839, 'sign': 'positive'}
IL_1b IL_6 {'unsigned_weighted_rho': 0.16772727272727272, 'weighted_rho': 0.16772727272727272, 'rho': 0.5951612903225807, 'sign': 'positive'}
IL_1b IL_4 {'unsigned_weighted_rho': 0.10941912951561442, 'weighted_rho': -0.10941912951561442, 'rho': -0.3882614273134705, 'sign': 'negative'}
IL_1b IL_5 {'unsigned_weighted_rho': 0.08245980845580538, 'weighted_rho': -0.08245980845580538, 'rho': -0.2925993203270513, 'sign': 'negative'}
G_CSF Eotaxin {'unsigned_weighted_rho': 0.12034435578879676, 'weighted_rho': 0.12034435578879676, 'rho': 0.4270283592505692, 'sign': 'positive'}
G_CSF RANTES {'unsigned_weighted_rho': 0.1497188532282571, 'weighted_rho': 0.1497188532282571, 'rho': 0.5312604469389768, 'sign': 'positive'}
Eotaxin Osteocalcin {'unsigned_weighted_rho': 0.07299043062200956, 'weighted_rho': -0.07299043062200956, 'rho': -0.20587044534412954, 'sign': 'negative'}
Eotaxin IL_8 {'unsigned_weighted_rho': 0.11999554174564468, 'weighted_rho': 0.11999554174564468, 'rho': 0.4257906320006747, 'sign': 'positive'}
Eotaxin RANTES {'unsigned_weighted_rho': 0.16574428610902772, 'weighted_rho': 0.16574428610902772, 'rho': 0.3798306556665219, 'sign': 'positive'}
Eotaxin IL_4 {'unsigned_weighted_rho': 0.09088892888076232, 'weighted_rho': -0.09088892888076232, 'rho': -0.3225091024801244, 'sign': 'negative'}
Osteocalcin MDC {'unsigned_weighted_rho': 0.11662679425837322, 'weighted_rho': 0.11662679425837322, 'rho': 0.32894736842105265, 'sign': 'positive'}
Osteocalcin VEGF_D {'unsigned_weighted_rho': 0.1154233385747858, 'weighted_rho': -0.1154233385747858, 'rho': -0.32555300623657535, 'sign': 'negative'}
Osteocalcin ACTH {'unsigned_weighted_rho': 0.08977272727272727, 'weighted_rho': -0.08977272727272727, 'rho': -0.3185483870967742, 'sign': 'negative'}
Osteocalcin IL_2 {'unsigned_weighted_rho': 0.08177785276905854, 'weighted_rho': -0.08177785276905854, 'rho': -0.2901794775676271, 'sign': 'negative'}
Osteocalcin IL_8 {'unsigned_weighted_rho': 0.1445620334410558, 'weighted_rho': -0.1445620334410558, 'rho': -0.512962054145682, 'sign': 'negative'}
Osteocalcin RANTES {'unsigned_weighted_rho': 0.15681818181818183, 'weighted_rho': -0.15681818181818183, 'rho': -0.4423076923076923, 'sign': 'negative'}
Osteocalcin IL_4 {'unsigned_weighted_rho': 0.11356853027127148, 'weighted_rho': -0.11356853027127148, 'rho': -0.40298510741418914, 'sign': 'negative'}
VEGF_D MDC {'unsigned_weighted_rho': 0.28204719774181564, 'weighted_rho': -0.28204719774181564, 'rho': -0.6463581614916609, 'sign': 'negative'}
VEGF_D IL_8 {'unsigned_weighted_rho': 0.16053430429668097, 'weighted_rho': 0.16053430429668097, 'rho': 0.5696378539559648, 'sign': 'positive'}
VEGF_D MCP_1 {'unsigned_weighted_rho': 0.0798265644012336, 'weighted_rho': -0.0798265644012336, 'rho': -0.2832555511011515, 'sign': 'negative'}
VEGF_D IL_6 {'unsigned_weighted_rho': 0.13535559591939253, 'weighted_rho': 0.13535559591939253, 'rho': 0.4802940500365542, 'sign': 'positive'}
VEGF_D IL_4 {'unsigned_weighted_rho': 0.08054671549126655, 'weighted_rho': -0.08054671549126655, 'rho': -0.2858109259367523, 'sign': 'negative'}
ACTH MCP_1 {'unsigned_weighted_rho': 0.0782608695652174, 'weighted_rho': -0.0782608695652174, 'rho': -0.391304347826087, 'sign': 'negative'}
IL_8 MDC {'unsigned_weighted_rho': 0.09784344726845574, 'weighted_rho': -0.09784344726845574, 'rho': -0.3471864257912946, 'sign': 'negative'}
IL_8 RANTES {'unsigned_weighted_rho': 0.16194569341225587, 'weighted_rho': 0.16194569341225587, 'rho': 0.5746460088821983, 'sign': 'positive'}
MDC IL_5 {'unsigned_weighted_rho': 0.1184898005722634, 'weighted_rho': 0.1184898005722634, 'rho': 0.4204476794499669, 'sign': 'positive'}
RANTES IL_6 {'unsigned_weighted_rho': 0.14056818181818181, 'weighted_rho': 0.14056818181818181, 'rho': 0.49879032258064515, 'sign': 'positive'}
IL_4 IL_5 {'unsigned_weighted_rho': 0.12948172728493082, 'weighted_rho': 0.12948172728493082, 'rho': 0.4594512903658836, 'sign': 'positive'}
